sample-id	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	PercentContam
B75	13	G2	H714	H522	TC24-05	63	TC24-11	Flat mat	microbial mats	experiment	NA	NA	NA	NA	top yellow/green and dark green layer	NA	NA	NA	No	NA	BoxB	0
B76	0.309	G3	H710	H510	K4NMAT0CY	34	14	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iA-1	T0	NA	NA	Yes	NA	BoxB	0.07424406
B77	0.412	G4	H702	H513	K4NMAT0CY	34	15	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iA-2	T0	NA	NA	Yes	NA	BoxB	0.160474016
B78	8.23	G5	H703	H522	TC24-08	66	TC24-11	Flat mat	microbial mats	experiment	NA	NA	NA	NA	lower pink layer	NA	NA	NA	No	NA	BoxB	0
B79	too high	G6	H701	H510	K4MOAT10EU	16	46	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iA	T10	NA	NA	No	46	BoxB	0
B8	58	A9	H720	H517	K4NMBT5CY	44	39	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-2	T5	NA	NA	Yes	NA	BoxB	0
B80	38	G7	H707	H513	K4MOAT10CY	15	56	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA-1	T10	NA	NA	Yes	NA	BoxB	0
B81	40.8	G8	H723	H522	K4MOAT10CY	15	57	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA-2	T10	NA	NA	Yes	NA	BoxB	0
B82	45.8	G9	H705	H510	K2CT7CY	6	43	K0722	biomass	experiment	NA	NA	Cy	NA	Tr1-C	T7	8/19/22	NA	No	NA	BoxB	0
B83	0.699	G10	H712	H513	K4NMBT0CY	40	16	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-1	T0	NA	NA	Yes	NA	BoxB	0
B84	0.734	G11	H720	H522	K4NMBT0CY	40	17	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iB-2	T0	NA	NA	Yes	NA	BoxB	0.087955793
B85	1.47	G12	H706	H510	TC24-11	69	TC24-09	NA	microbial mats	experiment	NA	NA	NA	NA	pink/brown layers	NA	NA	NA	No	NA	BoxB	0
B86	0.217	H1	H714	H510	K4NMCT0CY	46	18	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-1	T0	NA	NA	Yes	NA	BoxB	0.110762415
B87	0.557	H2	H710	H513	K4NMCT0CY	46	19	K0824	biomass inhibition	experiment	NA	no	Cy	NA	m(-) iC-2	T0	NA	NA	Yes	NA	BoxB	0.022308624
B88	0.468	H3	H711	H522	TC24-17	75	TC24-09	biscuit mat	microbial mats	experiment	NA	NA	NA	NA	green and yellow layer at surface of biscuit mat	NA	NA	NA	No	NA	BoxB	0
B89	53	H4	H703	H510	K4MOBT10EU	21	45	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iB	T10	NA	NA	No	45	BoxB	0
B9	56	A10	H710	H505	K4MOCT10CY	25	52	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC-1	T10	NA	NA	Yes	52	BoxB	0
B9-re	56	H7	H723	H510	B9-re	25	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
B90	25.1	H5	H701	H513	TC24-16	74	TC24-10	thin subtidal mat	microbial mats	experiment	NA	NA	NA	NA	green slimey sheet-like subtidal mat adjacent to mangroves. Sample in ~1 m of water depth	NA	NA	NA	No	NA	BoxB	0
B90-re	25.1	H12	H712	H522	B90-re	74	NA	NA	control	experiment	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
B91	0.066	H6	H702	H522	K4NMNT0CY	52	13	K0824	biomass inhibition	control	negative	no	Cy	NA	m(-) MQ	T0	NA	NA	No	NA	BoxB	18.22660099
B92	0.085	H7	H723	H510	K4NMNT10EU	54	48	K0824	biomass inhibition	control	negative	no	Eu	NA	m(-) MQ	T10	NA	NA	No	NA	BoxB	92.33716475
B93	0.057	H8	H705	H513	K4NMNT5CY	55	42	K0824	biomass inhibition	control	negative	no	Cy	NA	m(-) MQ-1	T5	NA	NA	Yes	NA	BoxB	19.58762887
B94	0.068	H9	H707	H522	K4NMNT5CY	55	43	K0824	biomass inhibition	control	negative	no	Cy	NA	m(-) MQ-2	T5	NA	NA	Yes	NA	BoxB	22.52252252
B95	6.85	H10	H720	H510	TC24-10	68	TC24-09	NA	microbial mats	experiment	NA	NA	NA	NA	green layer	NA	NA	NA	No	NA	BoxB	0
BoxAPC2	56	H4	H703	H510	PC2	58	NA	NA	control	control	positive	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	15.44598464
BoxBPC2	56	H11	H706	H513	NA	58	NA	NA	control	control	positive	NA	NA	NA	NA	NA	NA	NA	No	NA	BoxB	16.63913626
NC		A4	H705	H505	NA	57	NA	NA	control	control	negative	NA	NA	NA	NA	NA	NA	NA	No	NA	BoxB	0
nc-day10	0.061	H12	H712	H522	NA	57	NA	NA	control	control	negative	NA	NA	NA	NA	NA	NA	NA	No	NA	BoxB	3.797468354
NC-day2	too low	H5	H701	H513	NC day2	57	NA	NA	control	control	negative	NA	NA	NA	NA	NA	NA	NA	NA	NA	BoxA	0
